               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.046383,            0.015527,            0.030636,             0.51537,                   1,              0.6996,              0.5115,            0.025645,            0.007289,            0.018927,           0.0059212,           0.0059212,           0.0059212
                 105,            0.040618,            0.017189,            0.030774,             0.51537,                   1,              0.6996,              0.5115,            0.025645,            0.007289,            0.018927,           0.0058816,           0.0058816,           0.0058816
                 106,            0.046133,              0.0181,            0.031503,             0.51068,                   1,             0.73519,             0.43585,            0.032399,           0.0071479,             0.01895,            0.005842,            0.005842,            0.005842
                 107,            0.043972,            0.016463,            0.028654,             0.51068,                   1,             0.73519,             0.43585,            0.032399,           0.0071479,             0.01895,           0.0058024,           0.0058024,           0.0058024
                 108,            0.055035,            0.013251,            0.029476,             0.51068,                   1,             0.73519,             0.43585,            0.032399,           0.0071479,             0.01895,           0.0057628,           0.0057628,           0.0057628
                 109,             0.04962,            0.012321,            0.027327,             0.36119,                   1,             0.64836,             0.43074,            0.027829,           0.0071936,            0.018901,           0.0057232,           0.0057232,           0.0057232
                 110,            0.048328,            0.018798,            0.030961,             0.36119,                   1,             0.64836,             0.43074,            0.027829,           0.0071936,            0.018901,           0.0056836,           0.0056836,           0.0056836
                 111,            0.049968,            0.012535,            0.029148,             0.36119,                   1,             0.64836,             0.43074,            0.027829,           0.0071936,            0.018901,            0.005644,            0.005644,            0.005644
                 112,            0.043744,            0.012389,            0.030254,             0.36188,                   1,             0.66233,             0.34914,            0.028074,           0.0071274,            0.018988,           0.0056044,           0.0056044,           0.0056044
                 113,            0.041145,            0.015487,            0.026459,             0.36188,                   1,             0.66233,             0.34914,            0.028074,           0.0071274,            0.018988,           0.0055648,           0.0055648,           0.0055648
                 114,            0.043909,            0.013219,            0.029645,             0.44379,                   1,             0.72845,             0.42786,            0.030601,           0.0070306,             0.01919,           0.0055252,           0.0055252,           0.0055252
                 115,            0.050965,            0.013717,            0.030455,             0.44379,                   1,             0.72845,             0.42786,            0.030601,           0.0070306,             0.01919,           0.0054856,           0.0054856,           0.0054856
                 116,            0.041136,            0.012198,            0.028196,             0.44379,                   1,             0.72845,             0.42786,            0.030601,           0.0070306,             0.01919,            0.005446,            0.005446,            0.005446
                 117,            0.042848,             0.01331,            0.025165,             0.52903,                   1,             0.71778,             0.53119,            0.024558,           0.0071913,            0.019114,           0.0054064,           0.0054064,           0.0054064
                 118,            0.035809,            0.014186,            0.027127,             0.52903,                   1,             0.71778,             0.53119,            0.024558,           0.0071913,            0.019114,           0.0053668,           0.0053668,           0.0053668
                 119,            0.038027,            0.013445,            0.027669,             0.32627,                   1,             0.58143,             0.17147,            0.034933,           0.0068452,            0.018791,           0.0053272,           0.0053272,           0.0053272
                 120,            0.059061,            0.015984,            0.028775,             0.32627,                   1,             0.58143,             0.17147,            0.034933,           0.0068452,            0.018791,           0.0052876,           0.0052876,           0.0052876
                 121,            0.053253,            0.012901,            0.028642,             0.32627,                   1,             0.58143,             0.17147,            0.034933,           0.0068452,            0.018791,            0.005248,            0.005248,            0.005248
                 122,            0.047293,            0.011586,            0.029744,               0.519,                   1,             0.71511,             0.37996,            0.020961,           0.0071548,            0.018906,           0.0052084,           0.0052084,           0.0052084
                 123,            0.035474,            0.012702,            0.022821,               0.519,                   1,             0.71511,             0.37996,            0.020961,           0.0071548,            0.018906,           0.0051688,           0.0051688,           0.0051688
                 124,             0.04382,             0.01404,            0.029163,               0.519,                   1,             0.71511,             0.37996,            0.020961,           0.0071548,            0.018906,           0.0051292,           0.0051292,           0.0051292
                 125,            0.048332,            0.016459,            0.029077,             0.49709,                   1,             0.74748,             0.46209,            0.018552,           0.0072047,            0.019082,           0.0050896,           0.0050896,           0.0050896
                 126,            0.035916,            0.013075,            0.028075,             0.49709,                   1,             0.74748,             0.46209,            0.018552,           0.0072047,            0.019082,             0.00505,             0.00505,             0.00505
                 127,            0.036331,            0.014634,            0.027719,             0.44837,                   1,             0.76142,             0.49371,            0.024936,             0.00702,            0.018996,           0.0050104,           0.0050104,           0.0050104
                 128,            0.039582,            0.013648,            0.029392,             0.44837,                   1,             0.76142,             0.49371,            0.024936,             0.00702,            0.018996,           0.0049708,           0.0049708,           0.0049708
                 129,            0.038714,            0.012439,            0.027067,             0.44837,                   1,             0.76142,             0.49371,            0.024936,             0.00702,            0.018996,           0.0049312,           0.0049312,           0.0049312
                 130,            0.036551,            0.015799,            0.029972,             0.49476,                   1,             0.73029,             0.48975,             0.01986,           0.0070373,            0.018795,           0.0048916,           0.0048916,           0.0048916
                 131,            0.034918,             0.01263,            0.024405,             0.49476,                   1,             0.73029,             0.48975,             0.01986,           0.0070373,            0.018795,            0.004852,            0.004852,            0.004852
                 132,            0.036777,            0.015819,            0.029121,             0.46298,                   1,             0.74022,             0.43089,            0.026339,           0.0069027,            0.018562,           0.0048124,           0.0048124,           0.0048124
                 133,             0.04418,            0.015288,            0.029711,             0.46298,                   1,             0.74022,             0.43089,            0.026339,           0.0069027,            0.018562,           0.0047728,           0.0047728,           0.0047728
                 134,            0.043853,            0.013371,            0.029597,             0.46298,                   1,             0.74022,             0.43089,            0.026339,           0.0069027,            0.018562,           0.0047332,           0.0047332,           0.0047332
                 135,            0.035537,            0.013232,            0.025491,             0.57216,                   1,              0.8337,             0.54644,            0.018793,           0.0068651,            0.018521,           0.0046936,           0.0046936,           0.0046936
                 136,            0.035862,            0.013361,              0.0278,             0.57216,                   1,              0.8337,             0.54644,            0.018793,           0.0068651,            0.018521,            0.004654,            0.004654,            0.004654
                 137,            0.042995,            0.012341,            0.029287,             0.57216,                   1,              0.8337,             0.54644,            0.018793,           0.0068651,            0.018521,           0.0046144,           0.0046144,           0.0046144
                 138,            0.035932,            0.014224,            0.028889,             0.62817,             0.95906,             0.85284,             0.60171,            0.017623,           0.0067386,            0.018462,           0.0045748,           0.0045748,           0.0045748
                 139,            0.038454,            0.014401,            0.028073,             0.62817,             0.95906,             0.85284,             0.60171,            0.017623,           0.0067386,            0.018462,           0.0045352,           0.0045352,           0.0045352
                 140,            0.035218,            0.012275,            0.028183,             0.60356,                   1,             0.75483,             0.43266,            0.025219,           0.0065547,            0.018285,           0.0044956,           0.0044956,           0.0044956
                 141,            0.044601,            0.013796,            0.028577,             0.60356,                   1,             0.75483,             0.43266,            0.025219,           0.0065547,            0.018285,            0.004456,            0.004456,            0.004456
                 142,            0.041629,            0.010984,            0.027015,             0.60356,                   1,             0.75483,             0.43266,            0.025219,           0.0065547,            0.018285,           0.0044164,           0.0044164,           0.0044164
                 143,             0.03876,            0.014487,            0.026716,             0.62465,             0.99547,             0.76113,             0.44476,             0.02111,           0.0064113,            0.018189,           0.0043768,           0.0043768,           0.0043768
                 144,            0.043579,            0.014266,            0.027225,             0.62465,             0.99547,             0.76113,             0.44476,             0.02111,           0.0064113,            0.018189,           0.0043372,           0.0043372,           0.0043372
                 145,            0.041382,            0.012307,            0.029167,             0.50055,             0.93482,             0.75601,             0.44239,            0.028963,           0.0063602,            0.018045,           0.0042976,           0.0042976,           0.0042976
                 146,            0.047369,            0.013169,            0.027723,             0.50055,             0.93482,             0.75601,             0.44239,            0.028963,           0.0063602,            0.018045,            0.004258,            0.004258,            0.004258
                 147,            0.045594,            0.012269,            0.028276,             0.50055,             0.93482,             0.75601,             0.44239,            0.028963,           0.0063602,            0.018045,           0.0042184,           0.0042184,           0.0042184
                 148,            0.049389,            0.011213,            0.029321,             0.66301,                   1,             0.85421,             0.52084,            0.019615,           0.0062135,             0.01806,           0.0041788,           0.0041788,           0.0041788
                 149,            0.039786,            0.014673,            0.028616,             0.66301,                   1,             0.85421,             0.52084,            0.019615,           0.0062135,             0.01806,           0.0041392,           0.0041392,           0.0041392
                 150,            0.037937,            0.015363,            0.028272,             0.66301,                   1,             0.85421,             0.52084,            0.019615,           0.0062135,             0.01806,           0.0040996,           0.0040996,           0.0040996
                 151,             0.03847,            0.012278,            0.028227,             0.66583,                   1,             0.87779,             0.53048,            0.017381,           0.0061042,            0.018057,             0.00406,             0.00406,             0.00406
                 152,            0.034444,            0.012866,            0.026469,             0.66583,                   1,             0.87779,             0.53048,            0.017381,           0.0061042,            0.018057,           0.0040204,           0.0040204,           0.0040204
                 153,            0.037642,            0.014749,            0.028109,             0.67136,             0.90909,             0.87067,             0.54683,            0.025079,           0.0060422,            0.017905,           0.0039808,           0.0039808,           0.0039808
                 154,            0.045097,             0.01406,            0.028235,             0.67136,             0.90909,             0.87067,             0.54683,            0.025079,           0.0060422,            0.017905,           0.0039412,           0.0039412,           0.0039412
                 155,            0.046803,            0.014222,             0.02851,             0.67136,             0.90909,             0.87067,             0.54683,            0.025079,           0.0060422,            0.017905,           0.0039016,           0.0039016,           0.0039016
                 156,            0.043807,            0.013175,            0.026765,             0.81308,             0.86478,              0.9213,             0.62833,            0.021635,           0.0059661,             0.01791,            0.003862,            0.003862,            0.003862
                 157,            0.038084,            0.012201,            0.027205,             0.81308,             0.86478,              0.9213,             0.62833,            0.021635,           0.0059661,             0.01791,           0.0038224,           0.0038224,           0.0038224
                 158,            0.042764,            0.014566,            0.027924,             0.57022,             0.83107,             0.81887,             0.41839,            0.021176,           0.0059963,            0.017893,           0.0037828,           0.0037828,           0.0037828
