               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.063878,            0.018346,            0.033924,             0.32447,                0.95,             0.50908,             0.20964,            0.045262,           0.0082728,            0.020462,           0.0085744,           0.0085744,           0.0085744
                  74,            0.060701,            0.014429,            0.032298,             0.32447,                0.95,             0.50908,             0.20964,            0.045262,           0.0082728,            0.020462,           0.0085546,           0.0085546,           0.0085546
                  75,            0.054797,             0.01733,            0.028195,             0.46553,             0.97427,              0.7344,             0.38267,            0.034254,           0.0084142,            0.020146,           0.0085348,           0.0085348,           0.0085348
                  76,            0.054334,            0.015086,            0.029149,             0.46553,             0.97427,              0.7344,             0.38267,            0.034254,           0.0084142,            0.020146,            0.008515,            0.008515,            0.008515
                  77,            0.055201,            0.014995,            0.028867,             0.46553,             0.97427,              0.7344,             0.38267,            0.034254,           0.0084142,            0.020146,           0.0084952,           0.0084952,           0.0084952
                  78,            0.056258,            0.015812,            0.031792,             0.47284,                   1,             0.79445,             0.49648,            0.026665,           0.0088323,            0.019876,           0.0084754,           0.0084754,           0.0084754
                  79,             0.04989,            0.014956,            0.030387,             0.47284,                   1,             0.79445,             0.49648,            0.026665,           0.0088323,            0.019876,           0.0084556,           0.0084556,           0.0084556
                  80,            0.049589,            0.016953,            0.028798,             0.24336,             0.65909,              0.4395,            0.091127,            0.043353,           0.0080242,            0.019483,           0.0084358,           0.0084358,           0.0084358
                  81,              0.0551,            0.014365,            0.031156,             0.24336,             0.65909,              0.4395,            0.091127,            0.043353,           0.0080242,            0.019483,            0.008416,            0.008416,            0.008416
                  82,            0.057215,            0.015522,            0.031267,             0.24336,             0.65909,              0.4395,            0.091127,            0.043353,           0.0080242,            0.019483,           0.0083962,           0.0083962,           0.0083962
                  83,            0.054137,            0.017183,            0.029685,             0.42819,             0.86421,             0.76849,             0.35951,            0.030351,           0.0084626,            0.019313,           0.0083764,           0.0083764,           0.0083764
                  84,            0.043307,            0.015828,            0.028503,             0.42819,             0.86421,             0.76849,             0.35951,            0.030351,           0.0084626,            0.019313,           0.0083566,           0.0083566,           0.0083566
                  85,            0.048271,            0.017457,            0.030972,             0.42819,             0.86421,             0.76849,             0.35951,            0.030351,           0.0084626,            0.019313,           0.0083368,           0.0083368,           0.0083368
                  86,             0.04147,             0.01473,            0.028292,             0.41393,                 0.8,             0.75449,             0.31693,             0.03028,           0.0082964,            0.019231,            0.008317,            0.008317,            0.008317
                  87,            0.041173,             0.01633,            0.029013,             0.41393,                 0.8,             0.75449,             0.31693,             0.03028,           0.0082964,            0.019231,           0.0082972,           0.0082972,           0.0082972
                  88,            0.047119,            0.018299,            0.030874,             0.36686,             0.81605,             0.75344,              0.2889,            0.041269,           0.0076884,            0.019168,           0.0082774,           0.0082774,           0.0082774
                  89,            0.061443,            0.013662,            0.030492,             0.36686,             0.81605,             0.75344,              0.2889,            0.041269,           0.0076884,            0.019168,           0.0082576,           0.0082576,           0.0082576
                  90,            0.055517,             0.01415,            0.027113,             0.36686,             0.81605,             0.75344,              0.2889,            0.041269,           0.0076884,            0.019168,           0.0082378,           0.0082378,           0.0082378
                  91,            0.055047,            0.014616,            0.029642,             0.54308,               0.706,             0.84138,             0.43734,             0.02817,           0.0078822,            0.019081,            0.008218,            0.008218,            0.008218
                  92,            0.052742,            0.015923,            0.031968,             0.54308,               0.706,             0.84138,             0.43734,             0.02817,           0.0078822,            0.019081,           0.0081982,           0.0081982,           0.0081982
                  93,            0.050267,            0.016144,            0.027641,             0.48702,             0.76353,             0.77969,             0.22218,            0.045781,           0.0072066,            0.018909,           0.0081784,           0.0081784,           0.0081784
                  94,            0.056512,            0.013459,            0.028038,             0.48702,             0.76353,             0.77969,             0.22218,            0.045781,           0.0072066,            0.018909,           0.0081586,           0.0081586,           0.0081586
                  95,            0.059348,            0.017338,            0.029975,             0.48702,             0.76353,             0.77969,             0.22218,            0.045781,           0.0072066,            0.018909,           0.0081388,           0.0081388,           0.0081388
                  96,            0.060455,            0.015901,            0.029895,             0.58112,             0.65166,             0.63677,             0.18816,            0.043922,           0.0070465,            0.019024,            0.008119,            0.008119,            0.008119
                  97,            0.054446,            0.017942,            0.029713,             0.58112,             0.65166,             0.63677,             0.18816,            0.043922,           0.0070465,            0.019024,           0.0080992,           0.0080992,           0.0080992
                  98,             0.05406,             0.01214,            0.029216,             0.58112,             0.65166,             0.63677,             0.18816,            0.043922,           0.0070465,            0.019024,           0.0080794,           0.0080794,           0.0080794
                  99,            0.053709,            0.014043,            0.030437,             0.60088,             0.71818,             0.64529,             0.21357,            0.041876,           0.0068859,            0.019097,           0.0080596,           0.0080596,           0.0080596
                 100,            0.050558,            0.016038,             0.02701,             0.60088,             0.71818,             0.64529,             0.21357,            0.041876,           0.0068859,            0.019097,           0.0080398,           0.0080398,           0.0080398
                 101,            0.053346,              0.0152,            0.029322,             0.49601,                0.85,             0.73795,             0.31936,            0.033829,           0.0071122,            0.019262,             0.00802,             0.00802,             0.00802
                 102,            0.055941,            0.015693,            0.028409,             0.49601,                0.85,             0.73795,             0.31936,            0.033829,           0.0071122,            0.019262,           0.0080002,           0.0080002,           0.0080002
                 103,            0.052008,            0.012994,            0.027447,             0.49601,                0.85,             0.73795,             0.31936,            0.033829,           0.0071122,            0.019262,           0.0079804,           0.0079804,           0.0079804
                 104,            0.049828,            0.012303,            0.028056,             0.42654,                0.95,              0.6579,             0.28561,            0.030871,           0.0072193,             0.01937,           0.0079606,           0.0079606,           0.0079606
                 105,            0.046059,            0.018318,            0.029556,             0.42654,                0.95,              0.6579,             0.28561,            0.030871,           0.0072193,             0.01937,           0.0079408,           0.0079408,           0.0079408
                 106,             0.04595,            0.013281,            0.027815,             0.31268,             0.86364,             0.41698,             0.13054,            0.036944,           0.0069815,            0.019854,            0.007921,            0.007921,            0.007921
                 107,            0.045901,            0.013551,            0.028235,             0.31268,             0.86364,             0.41698,             0.13054,            0.036944,           0.0069815,            0.019854,           0.0079012,           0.0079012,           0.0079012
                 108,            0.051101,            0.014448,            0.028785,             0.31268,             0.86364,             0.41698,             0.13054,            0.036944,           0.0069815,            0.019854,           0.0078814,           0.0078814,           0.0078814
                 109,            0.049826,            0.016791,             0.02928,             0.55056,                   1,             0.76781,             0.51612,            0.025871,           0.0073449,            0.019892,           0.0078616,           0.0078616,           0.0078616
